code,city,city_restaurants_url,restaurant_name,restaurant_url
,,,Lʹvivsʹki Vytrebenʹky / Львівські витребеньки,https://glovoapp/es/zhy/store/l-vivs-ki-vytreben-ky-zhy/
,,,Plyus Kava / Плюс Кава,https://glovoapp/es/zhy/store/plyus-kava-zhy/
,,,Drozhzhy / Дрожжи,https://glovoapp/es/zhy/store/drozhzhy-zhy/
,,,Buta / Бута,https://glovoapp/es/zhy/store/buta-zhy/
,,,Liberty Hall,https://glovoapp/es/zhy/store/liberty-hall-zhy/
,,,ZT.Coffee,https://glovoapp/es/zhy/store/zt-coffee-zhy/
,,,Agneshka / Агнешка,https://glovoapp/es/zhy/store/agneshka-zhy/
,,,ABC Kebab Bistro,https://glovoapp/es/bzg/store/abc-kebab-bistro-bzg/
,,,Pierożek i spółka,https://glovoapp/es/bzg/store/piero-ek-i-sp-ka-bzg/
,,,Pizza Mario Magnuszewska,https://glovoapp/es/bzg/store/pizza-mario-bzg/
,,,Starbucks,https://glovoapp/es/bzg/store/starbucks-bzg/
,,,Restauracja Naturalna,https://glovoapp/es/bzg/store/restauracja-naturalna-bzg/
,,,Papa Grande,https://glovoapp/es/bzg/store/papa-grande-bzg/
,,,Asia Plate,https://glovoapp/es/bzg/store/asia-plate-bzg/
,,,Pizza&Barszcz,https://glovoapp/es/bzg/store/pizzaandbarszcz-bzg/
,,,Green it,https://glovoapp/es/bzg/store/green-it-bzg/
,,,Dalinina Art Studio,https://glovoapp/es/zhy/store/dalinina-art-studio-zhy/
,,,Baz Baz,https://glovoapp/es/zhy/store/baz-baz-zhy/
,,,Express Pizza,https://glovoapp/es/zhy/store/express-pizza-zhy/
,,,La Luna,https://glovoapp/es/zhy/store/la-luna-zhy/
,,,Schultz Pub,https://glovoapp/es/zhy/store/schultz-pub-zhy/
,,,PandaBanda,https://glovoapp/es/zhy/store/pandabanda-zhy/
,,,Hookah Loft Bar,https://glovoapp/es/zhy/store/hookah-loft-bar-zhy/
,,,Ice Fashion,https://glovoapp/es/zhy/store/ice-fashion-zhy/
,,,Svit donats / Світ Донатс,https://glovoapp/es/zhy/store/svit-donats-zhy/
,,,Om Nom Nom / Ом Ном Ном,https://glovoapp/es/zhy/store/om-nom-nom-zhy/
,,,Good Fast Food / Гуд Фаст Фуд,https://glovoapp/es/zhy/store/good-fast-food-zhy/
,,,Cherepakha / Черепаха,https://glovoapp/es/zhy/store/cherepakha-zhy/
,,,Kaviarnia - kondyters`ka Gusto / Кав’ярня-кондитерська Ґусто ,https://glovoapp/es/zhy/store/kaviarnia-kondyterska-gusto/
,,,Fayna Knaypa,https://glovoapp/es/zhy/store/fayna-knaypa-zhy/
,,,The Grill Zhitomir,https://glovoapp/es/zhy/store/thegrillzhitomir-zhy/
,,,Nahvyli / Нахвилі,https://glovoapp/es/zhy/store/nahvyli-zhy/
,,,Mario / Маріо,https://glovoapp/es/zhy/store/mario-zhy/
,,,La-Lavash Fast Food,https://glovoapp/es/zhy/store/lalavashfastfood-zhy/
